mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.08052976926167806,0.008838167775249085,0.005444447199503581,0.00048230973986011837,3,50,"{'max_depth': 3, 'n_estimators': 50}",0.8801329949597131,0.8760425799877474,0.815734763103184,0.8573034460168816,0.02944089472197205,12
0.15508492787679037,0.014824910374875178,0.008782068888346354,0.0010734278805380618,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.8913583295605767,0.8873558507792311,0.8458188834128684,0.8748443545842255,0.020589049543195497,11
0.31296555201212567,0.016034118625783217,0.011473814646402994,0.0002906193933346718,3,200,"{'max_depth': 3, 'n_estimators': 200}",0.9026217228464419,0.8911504901713644,0.8383527195446318,0.8773749775208127,0.02798749432563473,10
0.08360409736633301,0.00553251139726427,0.006069580713907878,0.0012348165438999907,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9026162589098942,0.9023750706753336,0.887224421297477,0.897405250294235,0.007199606574299396,9
0.2152536710103353,0.05376609667440091,0.00928203264872233,0.0021570138539228406,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.917605307920144,0.9136054345369149,0.887224421297477,0.9061450545848454,0.013478192751423023,7
0.462968905766805,0.02738971426391342,0.017530441284179688,0.0028879885864208574,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9138576779026217,0.9173267922139579,0.8797060493839756,0.9036301731668517,0.016976090296061782,8
0.16359726587931314,0.022493106062764095,0.009531974792480469,0.004526336481117903,7,50,"{'max_depth': 7, 'n_estimators': 50}",0.9101123595505618,0.9285682054058934,0.8872180451127819,0.9086328700230789,0.016913517395128096,6
0.25850264231363934,0.011503209507859108,0.010726610819498697,0.0023795251778380585,7,100,"{'max_depth': 7, 'n_estimators': 100}",0.9138576779026217,0.9286305763565819,0.8984890652639999,0.9136591065077345,0.012306021444404406,5
0.4897146224975586,0.043576201030513705,0.016121943791707356,0.0022647320660094893,7,200,"{'max_depth': 7, 'n_estimators': 200}",0.9101148813674299,0.9323582845386928,0.9135081541096578,0.9186604400052601,0.009784401995773854,2
0.10857812563578288,0.007244053181815522,0.007210890452067058,0.00016135875556690598,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9138455936882572,0.9249567118716903,0.9135375011517797,0.9174466022372423,0.005311938773105249,3
0.31619715690612793,0.034902607309177165,0.013878266016642252,0.0005925718546866554,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9250936329588015,0.9286848039053767,0.9248162808649847,0.9261982392430544,0.0017619087965270162,1
0.553839365641276,0.03028964354603009,0.02578250567118327,0.006600697874517667,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.9138600947454947,0.9248425383763254,0.9135081541096578,0.9174035957438259,0.005262088696199209,4
